DOEID,HHSEX,HHAGE,EMPLOYHH,EDUCATION,SDESCENT,HOUSEHOLDER_RACE,NHSLDMEM,NUMCHILD,MONEYPY,TOTALBTU,TOTALDOL
100245,2,75,2,5,0,2,1,0,13,147246.25,2201.62
100246,2,50,1,5,0,1,4,1,16,128688.73,2474.48
100247,1,37,1,4,0,1,3,1,14,50921.31,1675.22
100248,1,44,1,3,0,1,3,0,12,62332.47,2290.96
100249,1,30,1,5,0,1,2,0,16,45291.99,2027.4
100250,2,48,1,2,1,1,5,2,12,56538.79,1890.21
100251,1,79,3,3,0,1,1,0,4,145138.68,2800.9
100252,1,31,2,4,0,1,2,0,7,30088.06,1295.46
100253,2,85,3,2,0,1,3,0,13,82145.93,3026.03
100254,2,72,3,1,0,1,1,0,6,22168.1,866.24
100255,1,58,1,5,1,1,2,0,14,54565.57,1016.0
100256,1,67,3,3,1,1,1,0,11,78912.1,1456.95
100257,2,79,1,2,0,1,4,1,14,107977.3,1188.15
100258,1,47,4,5,0,1,3,0,7,111754.66,1272.38
100259,1,78,3,2,0,1,2,0,10,36707.99,1015.78
100260,2,63,1,4,0,1,7,4,13,85944.56,2340.57
100261,2,27,1,3,0,1,2,0,8,31984.22,1175.99
100262,2,27,1,5,0,1,2,0,14,38417.19,928.96
100263,1,48,3,2,0,1,4,0,13,80362.51,2625.64
100264,2,75,3,4,0,1,2,0,9,171684.52,1990.93
100265,1,35,1,4,0,1,3,1,13,178788.01,3533.55
100266,2,57,1,4,0,1,2,0,15,59038.16,2197.88
100267,2,71,3,3,0,1,1,0,6,23654.59,1137.46
100268,2,41,1,3,0,1,2,0,16,42663.01,1294.85
100269,1,28,1,2,0,1,2,0,13,81131.38,1397.87
100270,2,71,3,2,0,1,2,0,13,37713.45,1045.52
100271,2,50,1,4,0,1,4,2,16,150598.03,3933.9
100272,1,47,1,3,0,1,3,2,16,118146.29,2765.17
100273,2,74,3,2,0,1,1,0,4,34774.51,1243.02
100274,2,54,1,5,0,1,2,0,16,122914.99,3737.65
100275,1,31,1,4,0,1,2,1,13,56982.75,1759.98
100276,1,68,3,4,0,4,2,0,14,48378.83,836.53
100277,2,33,1,4,0,1,2,0,14,18102.63,839.92
100278,1,37,1,5,0,1,1,0,14,16173.01,737.92
100279,2,28,1,4,0,1,2,0,15,31548.46,457.23
100280,1,22,4,3,0,1,3,0,1,60624.77,705.92
100281,1,49,1,4,0,1,2,0,15,137584.75,3301.32
100282,1,69,3,1,0,1,5,1,5,109959.87,2668.61
100283,1,69,3,2,0,1,2,0,15,107885.1,2185.97
100284,2,71,1,3,0,1,2,0,11,112124.93,2646.72
100285,2,62,3,1,0,1,1,0,7,19016.46,558.63
100286,2,75,3,1,0,2,4,1,10,200367.35,5892.24
100287,1,45,1,3,0,6,2,0,13,92307.1,1249.98
100288,1,33,1,3,1,4,2,0,12,42916.43,980.49
100289,1,55,1,4,0,1,2,0,11,86613.95,1735.87
100290,1,65,1,3,0,1,4,0,9,136695.58,3225.44
100291,1,51,1,2,0,1,2,0,6,59342.55,1896.32
100292,2,46,1,3,0,1,4,2,14,54285.08,1669.83
100293,2,40,1,2,1,1,5,3,10,43614.07,729.77
100294,2,72,1,5,0,1,2,0,16,336987.45,5241.36
100295,2,63,1,4,0,1,5,0,15,131676.52,2856.99
100296,1,67,3,3,0,1,3,0,1,89853.16,3086.04
100297,2,24,1,2,0,6,3,0,13,41965.33,2724.53
100298,2,67,3,1,0,1,1,0,4,44889.87,836.85
100299,1,57,1,3,0,1,2,0,13,50728.97,1561.61
100300,1,75,3,4,0,1,1,0,12,45510.57,1125.17
100301,1,65,2,3,0,2,1,0,7,60582.17,1315.47
100302,2,65,1,3,0,1,3,1,13,169172.28,3923.82
100303,1,49,1,5,0,2,1,0,16,69360.08,2296.78
100304,1,52,3,4,0,2,2,0,14,104517.39,2397.33
100305,1,74,3,3,0,1,2,0,14,120432.0,2565.4
100306,2,60,1,4,0,1,2,0,16,136409.09,2133.59
100307,2,65,3,2,0,1,3,1,12,124521.8,1462.66
100308,2,25,1,3,0,1,2,0,13,52875.92,1067.0
100309,1,39,4,3,0,1,3,1,7,50837.07,768.89
100310,2,77,3,2,0,1,2,0,8,102281.13,1407.62
100311,2,67,3,2,0,1,1,0,7,75425.21,2059.41
100312,1,70,3,2,0,1,2,0,3,44571.93,1724.4
100313,2,86,3,4,1,1,2,0,7,39413.52,1019.21
100314,1,66,3,2,0,1,1,0,11,65766.17,1446.91
100315,2,74,3,5,0,1,2,0,14,70101.87,2104.83
100316,2,29,4,3,1,1,2,0,12,79200.11,1843.07
100317,2,72,3,2,0,1,1,0,5,41274.49,501.19
100318,1,73,3,5,0,1,2,0,16,40966.72,1529.12
