DOEID,REGIONC,DIVISION,state_postal,BA_climate,TOTALBTU,TOTALDOL
109139,SOUTH,South Atlantic,FL,Hot-Humid,41143.23,1384.36
109140,WEST,Pacific,WA,Marine,187200.37,2753.58
109141,MIDWEST,West North Central,MO,Mixed-Humid,107760.7,1360.64
109142,WEST,Mountain South,NV,Hot-Dry,100780.94,2418.62
109143,WEST,Mountain North,ID,Cold,58856.17,1108.77
109144,WEST,Pacific,WA,Cold,29175.7,401.74
109145,WEST,Pacific,WA,Marine,46529.24,1258.6
109146,WEST,Mountain North,CO,Cold,134428.27,1540.23
109147,WEST,Pacific,AK,Very-Cold,150129.99,3495.23
109148,MIDWEST,East North Central,MI,Cold,118288.71,2033.38
109149,SOUTH,South Atlantic,MD,Mixed-Humid,87302.4,1845.13
109150,SOUTH,South Atlantic,NC,Mixed-Humid,15040.7,611.84
109151,SOUTH,East South Central,TN,Mixed-Humid,129697.25,2591.44
109152,MIDWEST,East North Central,WI,Cold,60900.08,941.82
109153,NORTHEAST,New England,CT,Cold,84864.27,1776.85
109154,WEST,Mountain North,UT,Cold,86775.7,1720.58
109155,SOUTH,East South Central,KY,Mixed-Humid,123972.33,2121.78
109156,NORTHEAST,Middle Atlantic,NY,Mixed-Humid,253766.3,3462.97
109157,MIDWEST,West North Central,MO,Mixed-Humid,203586.44,3650.73
109158,SOUTH,West South Central,TX,Hot-Humid,24472.56,720.68
109159,SOUTH,West South Central,TX,Hot-Humid,29382.84,977.29
109160,NORTHEAST,Middle Atlantic,NY,Mixed-Humid,36402.31,3539.52
109161,SOUTH,South Atlantic,DE,Mixed-Humid,40034.06,1038.81
109162,NORTHEAST,Middle Atlantic,NJ,Cold,22756.33,1099.36
109163,WEST,Mountain South,NM,Mixed-Dry,41447.7,825.54
109164,MIDWEST,East North Central,IL,Cold,85515.63,1549.84
109165,WEST,Pacific,CA,Hot-Dry,78178.92,1666.03
109166,NORTHEAST,Middle Atlantic,NJ,Cold,147428.74,2245.24
109167,MIDWEST,East North Central,MI,Cold,65853.74,1090.35
109168,MIDWEST,East North Central,IL,Mixed-Humid,90978.37,2800.0
109169,MIDWEST,West North Central,MN,Cold,71897.14,1729.0
109170,WEST,Pacific,AK,Very-Cold,129805.26,2992.93
109171,WEST,Pacific,OR,Marine,178779.45,1980.63
109172,NORTHEAST,Middle Atlantic,PA,Cold,108485.63,2118.77
109173,SOUTH,South Atlantic,DC,Mixed-Humid,31551.65,1075.3
109174,WEST,Pacific,OR,Marine,25158.61,837.05
109175,NORTHEAST,New England,CT,Cold,58432.02,1787.56
109176,SOUTH,West South Central,AR,Mixed-Humid,74106.41,2428.57
109177,MIDWEST,East North Central,WI,Cold,82921.17,1832.12
109178,WEST,Mountain North,WY,Cold,25753.96,872.99
109179,WEST,Pacific,WA,Marine,80411.62,1443.51
109180,WEST,Mountain South,NV,Hot-Dry,85417.86,2000.78
109181,MIDWEST,East North Central,OH,Cold,87668.81,2326.97
109182,SOUTH,South Atlantic,DC,Mixed-Humid,69936.16,1571.52
109183,SOUTH,South Atlantic,FL,Hot-Humid,141262.8,4217.06
109184,MIDWEST,West North Central,SD,Cold,104880.69,4076.0
109185,SOUTH,South Atlantic,FL,Hot-Humid,60848.14,1976.1
109186,MIDWEST,East North Central,OH,Cold,72916.13,1368.06
109187,WEST,Pacific,AK,Very-Cold,299955.97,5309.51
109188,MIDWEST,East North Central,IL,Cold,119416.1,1656.0
109189,SOUTH,South Atlantic,DC,Mixed-Humid,33558.31,842.99
109190,WEST,Mountain North,CO,Cold,60711.9,942.95
109191,SOUTH,East South Central,TN,Mixed-Humid,195340.86,2876.87
109192,SOUTH,South Atlantic,GA,Mixed-Humid,15359.92,651.75
109193,SOUTH,South Atlantic,NC,Mixed-Humid,120124.54,3204.82
109194,SOUTH,West South Central,TX,Hot-Humid,38286.28,986.13
109195,SOUTH,East South Central,KY,Mixed-Humid,42046.66,1181.97
109196,MIDWEST,East North Central,WI,Cold,108068.51,2283.5
109197,WEST,Mountain North,ID,Cold,62075.95,887.24
109198,MIDWEST,East North Central,MI,Cold,142277.02,2204.41
109199,MIDWEST,East North Central,IL,Cold,268959.1,3028.72
109200,SOUTH,West South Central,TX,Hot-Humid,88708.03,2012.1
109201,NORTHEAST,Middle Atlantic,PA,Mixed-Humid,43300.21,1528.84
109202,NORTHEAST,New England,VT,Cold,29564.4,1720.0
109203,NORTHEAST,Middle Atlantic,NJ,Mixed-Humid,98568.09,1760.81
109204,NORTHEAST,New England,ME,Cold,90368.55,2598.03
109205,MIDWEST,East North Central,MI,Cold,53385.24,2178.31
109206,NORTHEAST,Middle Atlantic,NY,Mixed-Humid,95479.52,4302.24
109207,WEST,Pacific,HI,Hot-Humid,28136.53,2725.68
109208,WEST,Pacific,CA,Hot-Dry,60533.71,2483.24
109209,WEST,Mountain North,ID,Cold,99150.67,1461.06
109210,SOUTH,West South Central,OK,Mixed-Humid,99067.43,1614.72
109211,MIDWEST,West North Central,KS,Mixed-Humid,96151.31,2088.37
109212,WEST,Mountain North,CO,Cold,54849.91,1290.69
109213,WEST,Pacific,CA,Hot-Dry,57951.68,2139.2
109214,MIDWEST,East North Central,OH,Cold,119393.99,1504.35
109215,NORTHEAST,Middle Atlantic,PA,Cold,82139.84,2509.99
109216,MIDWEST,East North Central,IL,Cold,139836.63,1505.21
109217,WEST,Pacific,AK,Very-Cold,5587.76,457.37
109218,WEST,Mountain South,AZ,Hot-Dry,24188.04,997.25
109219,NORTHEAST,New England,VT,Cold,153598.37,4371.08
109220,SOUTH,West South Central,TX,Mixed-Humid,88273.53,2410.25
109221,WEST,Mountain North,WY,Cold,95658.33,1332.9
109222,NORTHEAST,Middle Atlantic,NY,Cold,113652.7,2484.68
109223,NORTHEAST,New England,VT,Cold,101946.4,2925.37
109224,SOUTH,South Atlantic,NC,Mixed-Humid,70476.94,1265.62
109225,SOUTH,South Atlantic,NC,Mixed-Humid,47608.67,1413.94
109226,NORTHEAST,Middle Atlantic,NY,Cold,84518.0,2444.79
